clothing_style,top_clothing,bottom_clothing,hand_accessories,head_accessories,shoes,neck_accessories,glasses
Preppy Style,Sweatshirt,Jeans,Bracelets,Cap,Sneakers,Necklaces,Round Frames
Streetwear,Hoody,Jeans,"Hat, Glasses",Hat,Sneakers,Necklace,Aviator
Sportswear,Sport Shirt,Sport Pants,No accessories,No accessories,Sport shoes,No accessories,Sun Glasses
Sportswear,Short Sleeve T-Shirt,Regular Fit Jeans,Black Belt,Trucker Hat,Black Low-Top Sneakers,No Neckwear,Black Round Frames Sunglasses
Sportswear,T-shirt,Sport pants,Gloves,Cap,Sneakers,Scarf,Round
Formal Wear,Suit,Pants/Trousers,Watch,Fedora Hat,Lace-up,Necktie,Square frame
Vintage and Retro Inspired,Printed Pure Cotton Short Sleeve T-shirt,Dark Denim Jeans,Rounded Horn Bracelet,Hat - Woolen Cap,Leather Sneakers,Chain Necklace,Black Square Framed Glasses
Streetwear,T-shirt,Slim fit jeans,Ring,Baseball cap,Sneakers,Scarf,Brown/Tortoise
Sportswear,Crew-neck T-shirt,Chino Shorts,Classic Watch,Baseball Cap,Canvas Sneakers,None,Clubmaster
Casual Wear,Solid Color Polo Shirt,Solid Color Jeans,Casual Watch,Casual Hat,Sneakers,Solitaire Necklace,Sunglasses
Streetwear,Hoodie,Cargo Pants,none,Hat,Trainers,none,Sunglasses
Vintage and Retro Inspired,checkered plaid shirt,Dark grey skinny jeans,brown wristwatch,black leather jacket,Black suede boots,Leather necklace,Brown plastic glasses
Formal Wear,Solid Shirt,Trousers,Wrist Watch,Formal Hat,Black Shoes,Tie,Sunglasses
Vintage and Retro Inspired,Floral Tuxedo Jacket,Floral Pleated Trousers,Vintage Watch,Bowler Hat,Oxford Shoes,Silk Bow Tie,Aviator Sunglasses
Outdoor and Adventure Wear,Fleece Full Zip Jacket,Hiking Pants,Watches,Baseball Caps,Climbing Shoes,Turtleneck Sweaters,Glasses
