body_type,additional_features,dress_type,sleeve_type,necklace,bracelet,earrings,dress_design,accessory_design
Pear-shaped,broad shoulders,kurti,full length,choker,charms,drop earrings,churidar kurta with pleat,"choker, charms, drop earrings"
Apple-shaped,optional,party wear,full length,v shape,stacks,studs,floral print,minimalist
Hourglass,optional,t shirt,mid length,rounded,bangles,drop earrings,Simple and classy,"Go for a chunky necklace, bracelet, and earrings for the ideal look."
Pear-shaped,broad shoulders,t shirt,sleeveless,v shape,bangles,studs,"shirts have a fit and flare design, with balloon sleeves",Accessorize with a vintage-inspired hair clip or brooch for a touch of glamour.
Hourglass,optional,party wear,puffy shoulder,choker,stacks,studs,A-line,simple
Apple-shaped,busted,kurti,short length,choker,stacks,drop earrings,"The dress design should have a V-neckline, short sleeves, and a A-line skirt","The accessory design should include a choker necklace, stacked bracelets, and drop earrings"
Apple-shaped,optional,t shirt,short length,choker,stacks,jhumka,Solid color with bold prints,Earrings: Gold hoops
Rectangle,busted,party wear,puffy shoulder,v shape,stacks,studs,Bodycon flared,"studs, stacks, v shape"
Pear-shaped,optional,party wear,mid length,rounded,stacks,studs,A-line fit and flare,gold metallic hoops and gold metallic bangles
Pear-shaped,broad shoulders,t shirt,mid length,rounded,charms,studs,Cold shoulder,Long dangling earrings
Pear-shaped,busted,kurti,mid length,v shape,bangles,studs,Straight,Pearls and diamonds
Hourglass,broad shoulders,party wear,short length,v shape,bangles,studs,Balloon sleeve,"Silver and diamond necklaces, bracelets, and earrings"
Rectangle,broad shoulders,t shirt,short length,v shape,bangles,jhumka,3/4 sleeve,Heavy
Apple-shaped,broad shoulders,t shirt,full length,choker,stacks,drop earrings,Three quarter sleeves,"Layered necklace, multiple bracelets, pendant earrings"
Hourglass,optional,kurti,short length,v shape,stacks,studs,Printed dress with round neck,Metal jewelry
Hourglass,optional,kurti,short length,choker,bangles,drop earrings,Straight cut sleeveless kurti,"Diamond stud earring, diamond choker necklace, bangles, bracelet, and rings"
Hourglass,optional,party wear,short length,choker,stacks,studs,Bodycon,casual
Pear-shaped,busted,kurti,short length,v shape,stacks,studs,Straight cut with deep V neckline,simple
Hourglass,optional,crop top,puffy shoulder,v shape,bangles,studs,This is a midi dress with a puffy shoulder sleeve.,"This dress is best paired with a v-shape necklace, bangles, and studs."
Hourglass,optional,kurti,short length,choker,bangles,studs,Striped dress with a v-neckline and a flared skirt,"A golden choker necklace, bangles with beads, and studs earrings"
Hourglass,busted,t shirt,short length,choker,charms,jhumka,"The dress design suitable for the given body type, dress type, and sleeve type is a strappy backless dress with a round neckline and a v-neck cut.","The accessory design suitable for the given necklace, bracelet, and earrings is a stacked bangle with feather earrings and a choker necklace."
Pear-shaped,broad shoulders,party wear,mid length,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a strapless bodycon dress with a mid-length sleeve. It is a form-fitting dress that hugs the body and accentuates the curves while highlighting the pear-shaped figure. The strapless neck","A statement necklace, a stack of bracelets, and drop earrings will create a bold and fashionable look."
Pear-shaped,broad shoulders,crop top,sleeveless,v shape,stacks,jhumka,"Strapless, sleeveless, round neck with v-neckline, puff sleeves, v shaped neckline, asymmetrical","Leather, woven, and tribal designs"
Hourglass,busted,crop top,mid length,rounded,stacks,studs,Bodycon with high neck and mid length sleeves,studs
Apple-shaped,busted,party wear,puffy shoulder,rounded,stacks,studs,long dress with an embroidered sleeve,gold layered chain
Hourglass,busted,t shirt,short length,choker,stacks,drop earrings,Loose top with ruffled sleeves,"Intricate necklace with beads, choker bracelet, and small floral earrings"
Hourglass,optional,party wear,puffy shoulder,choker,bangles,studs,"Single breasted, semi formal, knee length, puffy shoulder, long sleeves, straight line, thin straps, front opening, side pockets, no pleats, with pockets, buttoned cuffs, plain sleeves, buttoned sleeves, tuxedo stripes, buttoned down, long sle",plain gold jewellery
Rectangle,optional,t shirt,mid length,rounded,stacks,drop earrings,Sleeveless,Black and gold
Apple-shaped,optional,t shirt,sleeveless,rounded,charms,studs,t shirt,silver
Rectangle,busted,party wear,short length,choker,stacks,drop earrings,Asymmetrical A-line,casual
Hourglass,broad shoulders,party wear,puffy shoulder,choker,bangles,jhumka,Kurti with short puffy shoulder sleeves,Fringed
Hourglass,busted,party wear,one shouldered,rounded,bangles,jhumka,one shoulder dress,"necklace: not defined, bracelet: not defined, earrings: boli (golden earrings)"
Pear-shaped,broad shoulders,party wear,mid length,choker,charms,studs,One shoulder dress,"Pearl and diamond drop earrings, gold chain necklace, and bangles"
Pear-shaped,broad shoulders,t shirt,short length,v shape,stacks,drop earrings,bateau neckline and belted waist,"lariat necklace, stacks of bracelets, and drop earrings"
Pear-shaped,busted,t shirt,short length,choker,stacks,jhumka,Full sleeves,"Small earrings, chained necklace, and bangles"
Pear-shaped,busted,party wear,puffy shoulder,rounded,charms,studs,Tight and Fitted,minimalistic
Pear-shaped,optional,party wear,short length,choker,stacks,studs,"Asymmetrical, high collar, long",metallic
Rectangle,optional,t shirt,short length,v shape,stacks,drop earrings,Straight sleeves,"Necklace with heart shape, bracelet with chain, and earrings with studs"
Inverted triangle,optional,party wear,short length,choker,stacks,jhumka,fitted at the waist with a pleated skirt,"Earrings: large studs, bracelet: cuffs, necklace: single"
Pear-shaped,broad shoulders,kurti,short length,rounded,charms,drop earrings,A-line,simple
Rectangle,busted,party wear,full length,rounded,bangles,drop earrings,High Neck Design,Earring design with diamond
Pear-shaped,optional,crop top,sleeveless,rounded,charms,jhumka,"crop top, sleeveless",red color earrings with jhumka
Rectangle,optional,party wear,full length,rounded,stacks,studs,Straight and fierce,Cool and edgy
